company,total_laid_off,funds_raised
Foodpanda,0,749
ForeScout,120,125
ForgeRock,327,234
"Form Energy",0,966
Formlabs,0,254
Fortinet,0,89
Forto,600,593
Forward,600,325
FourKites,0,241
Foursquare,315,390
Freenome,300,1400
Freightos,150,118
FreightWaves,48,92
FreshBooks,420,331
FreshDirect,300,280
Freshworks,1980,484
Frontdesk,600,26
FrontRow,0,17
FullStory,150,197
"Funding Circle",0,746
"Games 24x7",1740,75
Gated,0,3
Gem,210,148
"General Fusion",0,370
GenWise,45,3
Getaround,0,948
Getir,17400,1800
"Ghost Autonomy",300,247
Gigamon,207,23
"Ginkgo Bioworks",1200,1600
Glovo,141,1200
Glowforge,90,133
Google,5091,26
Goop,117,75
GoPro,417,288
Gopuff,0,3400
GoStudent,300,686
GoTo,87,2
GoWild,0,8
Grabango,102,94
GrabCAD,39,28
Grammarly,690,400
Greenikk,0,1
Grin,0,145
"Gro Intelligence",330,118
"GroundGame Health",291,17
Grubhub,1500,284
Guild,900,643
GupShup,1800,484
Gupy,174,105
HackerOne,0,159
HackerRank,159,103
Halodoc,0,245
Handshake,300,434
"Head Digital Works",1500,74
Headspace,0,216
HealthifyMe,450,130
Healthy.io,120,185
HelloFresh,819,367
Here,0,5
HerMD,0,28
"Hewlett Packard Enterprise",7656,1400
HeyJobs,270,62
Highsnobiety,72,8
Hijra,0,67
Hike,165,261
"Hims & Hers",204,1200
"Hinge Health",0,826
"Hippo Insurance",360,1300
Hodinkee,72,40
Hologram,0,82
Homeday,120,71
Homie,0,35
Homology,0,187
"Hooray Foods",0,7
Hootsuite,0,300
Hopin,0,1000
Hopper,750,730
Hubilo,150,153
HubSpot,0,100
"Hugging Face",30,395
Huma,135,217
Humane,30,230
"Humble Games",108,4
Hypefast,0,33
"Hyperloop One",0,368
Ibotta,210,93
iCIMS,207,93
Icon,342,451
Identiq,60,52
Illumina,786,28
Impact.com,120,361
Impinj,150,137
"Inbound Health",0,50
Incredibuild,174,35
Increff,0,17
Indeed,3000,5
"Indeed + Glassdoor",3900,5
Indigo,0,1200
inDrive,0,387
Infineon,4200,1500
Inmobi,375,320
Innoviz,300,547
Inscribe,0,39
InSightec,300,733
Inspirato,150,179
Instacart,750,2900
Instagram,180,57
Intel,127713,12
IntelyCare,0,171
Intuit,5400,18
Inuitive,48,23
InvestCloud,240,54
InVision,0,356
Invitae,705,2500
iRobot,1365,30
IronNet,0,428
iSpecimen,0,31
"Jam City",255,652
Jamf,498,332
Jane,0,40
Jasper,0,131
"Jasper Health",0,32
Jellysmack,156,22
Jodo,300,19
Joonko,0,38
Journera,0,31
"Jungle Scout",0,110
"Junglee Games",1050,3
"Juniper Networks",1320,39
"Just Eat",2250,129
Justworks,600,160
Kaiyo,0,43
Kaltura,210,166
Kandji,0,188
Kape,540,188
"Kape Technologies",600,188
"Karat Financial",0,116
Karhoo,0,39
Kaseya,0,547
Kaspien,0,52
"Kayak / OpenTable",240,229
"Kenko Health",300,14
Kevin,0,79
Khatabook,126,187
Khoros,348,138
Kinaxis,0,79
King.com,600,84
Kissflow,135,1
Kiwi.com,648,107
Klaviyo,0,778
"Kleos Space",0,17
Klub,180,35
Klue,255,83
KnownOrigin,0,3
Kobo360,90,85
Koo,0,51
Kraken,1200,134
Krutrim,450,304
"Kuku FM",240,71
Kyte,0,548
"Lamudi Indonesia",0,56
Landing,0,347
Latch,0,342
"Lazada Group",300,7200
LeddarTech,414,402
Ledger,0,577
"Ledger Investing",0,91
LegalZoom,300,952
"Lending Club",516,392
Lendio,0,108
Lenovo,300,850
Lentra,0,104
Level,0,27
Lever,0,123
Lex,0,7
Licious,240,490
Lightricks,465,335
"Lightspeed Commerce",1440,1200
Lilium,3000,1400
LingoAce,0,180
LinkedIn,2586,154
LinkSquares,270,161
LiveRamp,195,16
LiveVox,0,12
Localize,0,40
Loco,120,52
"Log 9 Materials",0,32
Logically,120,37
LOOP,69,125
Loopio,0,263
"Lucid Motors",1200,8300
"Lucid Software",225,170
Ludeo,75,42
"Lululemon Studio",360,75
Luminar,420,780
Lusha,72,245
Lyft,90,4900
"Lyra Health",231,910
"Made Renovation",0,9
"Magic Leap",225,4100
Mainvest,0,3
Malwarebytes,300,80
ManoMano,690,705
MariaDB,252,272
"Marin Software",81,99
Markforged,0,347
"Matter Labs",0,380
Matterport,510,409
"Maven Clinic",180,417
"May Mobility",0,303
McMakler,180,214
Meati,0,274
Medtronic,180,5900
Meetup,0,18
Melio,120,504
"Meow Wolf",24,185
MeridianLink,0,485
MessageBird,630,1100
Meta,12900,26000
"Metro Africa Xpress",450,64
Micron,900,50
Microsoft,59691,1
Milkbasket,1200,39
Miro,825,476
"Mister Spex",0,158
Mixtroz,0,2
"Mobile Premier League",900,375
Mobileye,900,2100
"Mobius Motors",0,6
"Modern Hydrogen",0,99
Mojo,0,100
Mollie,0,928
"Monarch Tractor",411,214
"Moon Active",0,425
MoonPay,90,651
Moov,150,77
Moovit,60,131
"Morning Consult",0,91
"Motif Foodworks",0,343
Motive,0,567
"Moxion Power",1047,124
Mozilla,180,2
"Mozilla Foundation",0,2
mPharma,450,90
MPL,1050,375
Multiverse,0,414
Muvin,0,4
MVPindex,36,27
MyBambu,423,15
Myntra,150,516
N26,42,1700
NanoLock,0,18
"NanoString Technologies",150,826
Navan,870,2200
"Navi Technologies",600,659
Nayax,210,245
nCino,0,1100
Neon,540,727
NerdWallet,0,105
Netlify,0,212
Nevro,189,556
"New Relic",0,214
Nexar,87,149
Nextdoor,201,736
Niantic,504,770
Niche,72,44
Nikola,390,3300
"Ninja Van",63,974
NIO,0,7200
